city,country,stationName,stationNumber,latitude,longitude,
昆明市,安宁,温泉,T5034,245800,1022700,2458001022700
昆明市,安宁,县街,T5037,245100,1022500,2451001022500
昆明市,安宁,禄裱,T5039,245800,1021600,2458001021600
昆明市,安宁,一六,T5040,243600,1022059,2436001022059
昆明市,安宁,金方,T5063,245252,1023016,2452521023016
昆明市,呈贡,马金铺,T5065,244659,1024748,2446591024748
昆明市,呈贡,斗南,T5066,245451,1024722,2454511024722
昆明市,呈贡,龙城,T5105,245329,1024807,2453291024807
昆明市,西山区,大渔,T5106,244956,1024738,2449561024738
昆明市,呈贡,阳宗海管委会,T5125,245920,1030504,2459201030504
昆明市,呈贡,阳宗海管委会,T5140,245224,1030250,2452241030250
昆明市,东川,乌龙,T5087,260159,1030559,2601591030559
昆明市,东川,汤丹,T5115,261124,1030259,2611241030259
昆明市,富民,款庄,T5061,252012,1024012,2520121024012
昆明市,富民,东村,T5112,253109,1024028,2531091024028
昆明市,富民,散旦,T5113,251814,1023924,2518141023924
昆明市,富民,对方村,T5129,252255,1024049,2522551024049
昆明市,富民,沙营村,T5130,251959,1023759,2519591023759
昆明市,富民,东核村,T5131,251952,1023423,2519521023423
昆明市,富民,罗勉,T5132,252019,1022720,2520191022720
昆明市,富民,大营,T5133,251335,1023123,2513351023123
昆明市,晋宁,二街,T5003,244047,1022848,2440471022848
昆明市,晋宁,夕阳,T5067,242800,1021659,2428001021659
昆明市,晋宁,上蒜,T5069,244059,1024600,2440591024600
昆明市,晋宁,新街,T5088,244359,1024300,2443591024300
昆明市,晋宁,晋城,T5089,244159,1024500,2441591024500
昆明市,晋宁,双河,T5090,243300,1022500,2433001022500
昆明市,晋宁,宝峰镇,T5091,243300,1023259,2433001023259
昆明市,晋宁,木杵榔,T5128,242940,1021548,2429401021548
昆明市,两区,红土地,T5114,260223,1030148,2602231030148
昆明市,禄劝,崇德,T5071,252958,1023051,2529581023051
昆明市,禄劝,云龙,T5096,255247,1022437,2552471022437
昆明市,禄劝,翠华,T5098,253803,1023445,2538031023445
昆明市,盘龙区,金殿水库,T5146,250625,1024646,2506251024646
昆明市,盘龙区,松华,T5147,251646,1024425,2516461024425
昆明市,盘龙区,茨坝,T5148,250849,1024418,2508491024418
昆明市,盘龙区,菜子地,T5108,252300,1025600,2523001025600
昆明市,盘龙区,阿子营,T5109,252034,1024625,2520341024625
昆明市,盘龙区,岩峰哨,T5120,252537,1025144,2525371025144
昆明市,盘龙区,大哨,T5138,252550,1025801,2525501025801
昆明市,盘龙区,白邑,T5139,251746,1025251,2517461025251
昆明市,石林,月湖水库,T5001,245002,1032626,2450021032626
昆明市,石林,长湖,T5004,244229,1032414,2442291032414
昆明市,石林,三角水库,T5009,244217,1033559,2442171033559
昆明市,石林,大可,T5117,243600,1031359,2436001031359
昆明市,石林,板桥,T5126,244100,1031500,2441001031500
昆明市,石林,螺丝塘,T5152,245713,1032318,2457131032318
昆明市,嵩明,嵩阳,T5011,252008,1030226,2520081030226
昆明市,嵩明,杨林,T5012,251444,1030351,2514441030351
昆明市,嵩明,杨桥,T5014,251828,1030229,2518281030229
昆明市,嵩明,大箐村,T5118,251132,1030901,2511321030901
昆明市,嵩明,西山村,T5119,252147,1025737,2521471025737
昆明市,嵩明,小街,T5134,251901,1030715,2519011030715
昆明市,嵩明,四营,T5135,251651,1030809,2516511030809
昆明市,嵩明,小新街,T5136,251835,1031318,2518351031318
昆明市,西山区,海口,T5110,2447216,1023629,24472161023629
昆明市,西山区,碧鸡,T5111,245912,1023740,2459121023740
昆明市,西山区,谷律,T5141,250759,1022658,2507591022658
昆明市,西山区,团结,T5142,250906,1022558,2509061022558
昆明市,西山区,三家村,T5143,250252,1023601,2502521023601
昆明市,西山区,前卫,T5144,250020,1024233,2500201024233
昆明市,寻甸,功山,T5025,254431,1031539,2544311031539
昆明市,寻甸,七星,T5031,253204,1031951,2532041031951
昆明市,寻甸,先锋,T5083,252927,1030012,2529271030012
昆明市,寻甸,塘子,T5099,252559,1031500,2525591031500
昆明市,寻甸,甸沙,T5102,254059,1030559,2540591030559
昆明市,寻甸,北大营,T5137,253610,1032538,2536101032538
昆明市,宜良,耿家营,T5043,250145,1031345,2501451031345
昆明市,宜良,狗街,T5045,244730,1030821,2447301030821
昆明市,宜良,北古城镇,T5103,245842,1031121,2458421031121
昆明市,宜良,南羊镇,T5104,245053,1030754,2450531030754
昆明市,宜良,新村,T5124,250017,1030736,2500171030736
昆明市,呈贡,七甸,T5064,245725,1025806,2457251025806
昆明市,阳宗海管委会,鸡街村,T5121,250331,1030516,2503311030516
昆明市,东川,阿旺,T5075,255548,1031500,2555481031500
昆明市,东川,因民,T5077,261536,1025736,2615361025736
昆明市,东川,拖布卡,T5078,262248,1030204,2622481030204
昆明市,东川,红土地松毛蓬,T5013,260416,1024829,2604161024829
昆明市,东川,乌龙,T5017,260736,1025336,2607361025336
昆明市,官渡,南坝泵站,T5015,250101,1024319,2501011024319
昆明市,官渡,枧槽河泵站,T5049,250007,1024354,2500071024354
昆明市,官渡,民航路泵站,T5057,250101,1024429,2501011024429
昆明市,官渡,昆交会泵站,T5059,250042,1024344,2500421024344
昆明市,晋宁,六街,T5068,243200,1024100,2432001024100
昆明市,晋宁,化乐,T5073,243700,1024500,2437001024500
昆明市,晋宁,汉营,T5079,244200,1023400,2442001023400
